Action,C|C,D|C,C|D,D|D
0.0,1.0,0.0,0.75,0.25
1.0,0.99,0.01,0.84,0.16

0.0,1.0,0.0,0.76,0.24
1.0,0.99,0.01,0.86,0.14

0.0,1.0,0.0,0.74,0.26
1.0,0.99,0.01,0.83,0.17

0.0,1.0,0.0,0.75,0.25
1.0,0.99,0.01,0.83,0.17

0.0,1.0,0.0,0.75,0.25
1.0,0.99,0.01,0.86,0.14

0.0,1.0,0.0,0.74,0.26
1.0,0.99,0.01,0.84,0.16

0.0,1.0,0.0,0.75,0.25
1.0,0.99,0.01,0.85,0.15

0.0,1.0,0.0,0.72,0.28
1.0,0.99,0.01,0.83,0.17

0.0,1.0,0.0,0.75,0.25
1.0,0.99,0.01,0.83,0.17

0.0,1.0,0.0,0.73,0.27
1.0,0.99,0.01,0.86,0.14

