Action,C|C,D|C,C|D,D|D
0.0,0.06,0.94,0.0,1.0
1.0,0.44,0.56,1.0,0.0

0.0,0.06,0.94,0.0,1.0
1.0,0.48,0.52,1.0,0.0

0.0,0.06,0.94,0.0,1.0
1.0,0.43,0.57,1.0,0.0

0.0,0.08,0.92,0.0,1.0
1.0,0.42,0.58,1.0,0.0

0.0,0.08,0.92,0.0,1.0
1.0,0.43,0.57,1.0,0.0

0.0,0.06,0.94,0.0,1.0
1.0,0.41,0.59,1.0,0.0

0.0,0.06,0.94,0.0,1.0
1.0,0.47,0.53,1.0,0.0

0.0,0.05,0.95,0.0,1.0
1.0,0.43,0.57,1.0,0.0

0.0,0.08,0.92,0.0,1.0
1.0,0.42,0.58,1.0,0.0

0.0,0.08,0.92,0.0,1.0
1.0,0.44,0.56,1.0,0.0

