Action,C|C,D|C,C|D,D|D
0.0,1.0,0.0,0.64,0.36
1.0,0.13,0.87,0.15,0.85

0.0,1.0,0.0,0.64,0.36
1.0,0.14,0.86,0.14,0.86

0.0,1.0,0.0,0.65,0.35
1.0,0.15,0.85,0.14,0.86

0.0,1.0,0.0,0.58,0.42
1.0,0.12,0.88,0.14,0.86

0.0,1.0,0.0,0.64,0.36
1.0,0.14,0.86,0.13,0.87

0.0,1.0,0.0,0.62,0.38
1.0,0.15,0.85,0.14,0.86

0.0,1.0,0.0,0.62,0.38
1.0,0.14,0.86,0.15,0.85

0.0,1.0,0.0,0.64,0.36
1.0,0.15,0.85,0.14,0.86

0.0,1.0,0.0,0.58,0.42
1.0,0.12,0.88,0.15,0.85

0.0,1.0,0.0,0.65,0.35
1.0,0.14,0.86,0.14,0.86

