Action,C|C,D|C,C|D,D|D
0.0,0.1,0.9,0.3,0.7
1.0,0.56,0.44,0.0,1.0

0.0,0.12,0.88,0.31,0.69
1.0,0.59,0.41,0.0,1.0

0.0,0.11,0.89,0.24,0.76
1.0,0.52,0.48,0.0,1.0

0.0,0.11,0.89,0.29,0.71
1.0,0.58,0.42,0.0,1.0

0.0,0.13,0.87,0.29,0.71
1.0,0.58,0.42,0.0,1.0

0.0,0.1,0.9,0.3,0.7
1.0,0.54,0.46,0.0,1.0

0.0,0.12,0.88,0.3,0.7
1.0,0.59,0.41,0.0,1.0

0.0,0.1,0.9,0.22,0.78
1.0,0.51,0.49,0.0,1.0

0.0,0.1,0.9,0.3,0.7
1.0,0.58,0.42,0.0,1.0

0.0,0.12,0.88,0.29,0.71
1.0,0.59,0.41,0.0,1.0

